cell_w_mm,cell_h_mm,n_fingers,finger_pitch_mm,finger_width_um,busbar_number,busbar_width_mm,n_probe_points,busbar_recovery_factor,rho_bulk_uohm_cm,rho_contact_mohm_cm2,edge_margin_mm,finger_shading_loss,raw_busbar_shading,effective_busbar_shading,recovered_busbar_light,optical_loss,electrical_loss,total_loss,efficiency,recovered_busbar_light_25,effective_busbar_shading_25,optical_loss_rec25,total_loss_rec25,Pe,Pf_finger,Pf_busbar,Pc,P_shade,scenario_label,nodes,mode,elapsed_s,timestamp
182.0,182.0,102,1.766990291262136,20.0,4,0.2,10,0.0,4.22,10.0,0.0,0.011208791208791211,0.004346334983697622,0.004346334983697622,0.0,0.48377561297338706,0.8041992976257399,1.287974910599127,31.100719273302317,0.0010865837459244055,0.0032597512377732164,0.4499820769244589,1.2541813745501988,0.05401390980012701,0.3765226661799473,0.09040971447042417,0.28325300717524154,0.48377561297338706,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83181,tandem,1240.3,2026-08-10 00:18:16
182.0,182.0,102,1.766990291262136,20.0,6,0.2,10,0.0,4.22,10.0,0.0,0.011208791208791211,0.006519502475546431,0.006519502475546431,0.0,0.5548454450601901,0.5483888434272233,1.1032342884874133,31.297171343138203,0.0016298756188866078,0.004889626856659823,0.5038349485478925,1.0522237919751158,0.05435654160353778,0.16031043532346254,0.06035075136057792,0.27337111513964507,0.5548454450601901,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",84423,tandem,1196.2,2026-08-10 00:17:32
182.0,182.0,102,1.766990291262136,20.0,14,0.2,10,0.0,4.22,10.0,0.0,0.011208791208791211,0.015212172442941676,0.015212172442941676,0.0,0.821290680743573,0.35273424222793226,1.1740249229715052,31.084811726377225,0.003803043110735419,0.011409129332206256,0.7030738016590665,1.0558080438869988,0.07237484411222894,0.021753969476634685,0.025048386655728495,0.23355704198334012,0.821290680743573,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",84283,tandem,1396.9,2026-08-10 00:20:53
182.0,182.0,102,1.766990291262136,20.0,16,0.2,10,0.0,4.22,10.0,0.0,0.011208791208791211,0.017385339934790488,0.017385339934790488,0.0,0.8871530502698826,0.32102701199006245,1.208180062259945,31.02570404448239,0.004346334983697622,0.013039004951092866,0.7523049473875,1.0733319593775623,0.07246114182482298,0.014843701840555272,0.02178195704060059,0.21194021128408358,0.8871530502698826,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82281,tandem,711.7,2026-08-10 00:29:24
182.0,182.0,102,1.766990291262136,20.0,18,0.2,10,0.0,4.22,10.0,0.0,0.011208791208791211,0.019558507426639296,0.019558507426639296,0.0,0.9508217233530227,0.32923375442183184,1.2800554777748545,30.903646583326978,0.004889626856659824,0.014668880569979472,0.7997144230504636,1.1289481774722954,0.0906939107273978,0.010551499087211785,0.01919443894610639,0.20879390566111586,0.9508217233530227,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",86215,tandem,722.8,2026-08-10 00:30:19
182.0,182.0,102,1.766990291262136,20.0,20,0.2,10,0.0,4.22,10.0,0.0,0.011208791208791211,0.021731674918488108,0.021731674918488108,0.0,1.0152201190944339,0.3177048189057317,1.3329249380001655,30.819846785765105,0.005432918729622027,0.01629875618886608,0.8477783962479695,1.1654832151537011,0.09798606639354662,0.007496961112472711,0.017173359684228912,0.19504843171548347,1.0152201190944339,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",92381,tandem,681.2,2026-08-10 00:32:14
