cell_w_mm,cell_h_mm,n_fingers,finger_pitch_mm,finger_width_um,busbar_number,busbar_width_mm,n_probe_points,busbar_recovery_factor,rho_bulk_uohm_cm,rho_contact_mohm_cm2,edge_margin_mm,finger_shading_loss,raw_busbar_shading,effective_busbar_shading,recovered_busbar_light,optical_loss,electrical_loss,total_loss,efficiency,recovered_busbar_light_25,effective_busbar_shading_25,optical_loss_rec25,total_loss_rec25,efficiency_rec25,Pe,Pf_finger,Pf_busbar,Pc,P_shade,FF,Jsc,Voc,scenario_label,nodes,mode,elapsed_s,timestamp,sweep_key
182.0,182.0,129,1.4,20.0,8,0.2,10,0.0,4.22,10.0,1.0,0.014020045888177755,0.008569979471078373,0.008569979471078373,0.0,0.6941784099377087,0.6901910293468018,1.3843694392845105,30.729421454733924,0.002142494867769593,0.0064274846033087795,0.6283407821814124,1.3185318115282143,30.79525908249022,0.16346050451409372,0.07018802582130515,0.04428487028247249,0.4122576287289304,0.6941784099377087,83.41217998774407,19.203691610538073,1.9184045202982476,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82067,tandem,1253.5,2026-08-10 17:42:03,wf20|p1.4|nbb8|wbb0.2|e1|rho4.22
182.0,182.0,129,1.4,20.0,10,0.2,10,0.0,9.0,10.0,1.0,0.014020045888177755,0.010712474338847967,0.010712474338847967,0.0,0.7595229471933187,0.6731178005272873,1.432640747720606,30.70948452569636,0.0026781185847119917,0.008034355754135976,0.6772793059581259,1.3503971064854132,30.791728166931552,0.15783547670500137,0.08813647552529483,0.0749474219092896,0.35219842638770155,0.7595229471933187,83.58778777915073,19.161680483739797,1.9173266159359035,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83299,tandem,1263.1,2026-08-10 17:42:12,wf20|p1.4|nbb10|wbb0.2|e1|rho9
182.0,182.0,129,1.4,20.0,10,0.2,10,0.0,4.22,10.0,1.0,0.014020045888177755,0.010712474338847967,0.010712474338847967,0.0,0.7619144233103781,0.5869245361271427,1.3488389594375207,30.80617811353567,0.0026781185847119917,0.008034355754135976,0.6794118251805704,1.266336361307713,30.888680711665476,0.15341943355442897,0.043547231084739714,0.03561598830064991,0.35434188318732407,0.7619144233103781,83.8427204502444,19.16196660292628,1.9174867945749947,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83299,tandem,1264.1,2026-08-10 17:42:13,wf20|p1.4|nbb10|wbb0.2|e1|rho4.22
182.0,182.0,129,1.4,20.0,12,0.2,10,0.0,9.0,10.0,1.0,0.014020045888177755,0.012854969206617562,0.012854969206617562,0.0,0.8278308209151729,0.5492827673981365,1.3771135883133094,30.802989988850012,0.0032137423016543906,0.009641226904963171,0.728837948970569,1.2781207163687054,30.901982860794615,0.1322147118147434,0.05986002488221424,0.06198679166477304,0.29522123903640585,0.8278308209151729,84.05551425093137,19.1200163849953,1.9166305447418295,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83421,tandem,1270.0,2026-08-10 17:42:19,wf20|p1.4|nbb12|wbb0.2|e1|rho9
182.0,182.0,129,1.4,20.0,12,0.2,10,0.0,4.22,10.0,1.0,0.014020045888177755,0.012854969206617562,0.012854969206617562,0.0,0.8296945914768924,0.48455237168951526,1.3142469631664078,30.872339552195204,0.0032137423016543906,0.009641226904963171,0.7304788479069647,1.21503121959648,30.971555295765132,0.128502787889463,0.029655294946656474,0.029403678285169096,0.2969906105682267,0.8296945914768924,84.23828748438216,19.120229195783764,1.9167563866730866,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83421,tandem,1278.0,2026-08-10 17:42:27,wf20|p1.4|nbb12|wbb0.2|e1|rho4.22
182.0,182.0,129,1.4,20.0,8,0.2,10,0.0,9.0,10.0,1.0,0.014020045888177755,0.008569979471078373,0.008569979471078373,0.0,0.6906670796114864,0.8118291674214622,1.5024962470329486,30.57398425312036,0.002142494867769593,0.0064274846033087795,0.6251624752619077,1.4369916426833698,30.63948885746994,0.1682819853460633,0.14123408572422236,0.09293107594055401,0.40938202041062244,0.6906670796114864,83.00071435484642,19.20327397114067,1.9182046054922675,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82067,tandem,1322.9,2026-08-10 17:43:12,wf20|p1.4|nbb8|wbb0.2|e1|rho9
182.0,182.0,102,1.766990291262136,20.0,8,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.00859606327738196,0.00859606327738196,0.0,0.6098288013350047,0.7230554914390173,1.3328842927740219,30.984589308491472,0.00214901581934549,0.006447047458036471,0.5432424287551334,1.2662979201941507,31.051175681071342,0.12879387183204277,0.08696922567898925,0.04578895748249777,0.46150343644548747,0.6098288013350047,83.77939822377708,19.260817923313454,1.9201439211819418,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83289,tandem,1422.3,2026-08-10 17:44:52,wf20|p1.77|nbb8|wbb0.2|e1|rho4.22
182.0,182.0,102,1.766990291262136,20.0,8,0.2,10,0.0,9.0,10.0,1.0,0.011085617679024273,0.00859606327738196,0.00859606327738196,0.0,0.6065297326041368,0.8668475302091132,1.47337726281325,30.81696801952864,0.00214901581934549,0.006447047458036471,0.5403035808259057,1.4071511110350188,30.883194171306872,0.13693941357836828,0.17675886998785761,0.0961492430111177,0.4570000036317697,0.6065297326041368,83.34061448839269,19.26033987132411,1.91985868555793,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83289,tandem,1462.8,2026-08-10 17:45:32,wf20|p1.77|nbb8|wbb0.2|e1|rho9
182.0,182.0,102,1.766990291262136,20.0,12,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.01289409491607294,0.01289409491607294,0.0,0.7414362205411829,0.5865696052685881,1.328005825809771,30.919312214474733,0.003223523729018235,0.009670571187054704,0.6417670839329002,1.2283366892014882,31.018981351083017,0.1512687251856939,0.03207903103296305,0.029823867762842834,0.37339798128708834,0.7414362205411829,84.0373174703763,19.17679149825887,1.9185878831034884,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",80221,tandem,19615.9,2026-08-10 23:09:15,wf20|p1.77|nbb12|wbb0.2|e1|rho4.22
182.0,182.0,102,1.766990291262136,20.0,12,0.2,10,0.0,9.0,10.0,1.0,0.011085617679024273,0.01289409491607294,0.01289409491607294,0.0,0.7396015223025422,0.6541583789470292,1.3937599012495714,30.84280177960756,0.003223523729018235,0.009670571187054704,0.6401790188965714,1.2943373978436006,30.94222428301353,0.15663176180984292,0.06576522176551042,0.06293740009390868,0.3688239952777672,0.7396015223025422,83.83671276573092,19.176567122519977,1.9184421889116385,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",80221,tandem,19629.0,2026-08-10 23:09:22,wf20|p1.77|nbb12|wbb0.2|e1|rho9
182.0,182.0,102,1.766990291262136,20.0,10,0.2,10,0.0,9.0,10.0,1.0,0.011085617679024273,0.01074507909672745,0.01074507909672745,0.0,0.6751243859772929,0.6954083495481368,1.3705327355254298,30.925462110177897,0.0026862697741818625,0.008058809322545588,0.5920502518581156,1.2874586014062523,31.008536244297073,0.12825295579814233,0.1067956544270646,0.07599502763845746,0.3843647116844724,0.6751243859772929,83.8519309573674,19.21868004160765,1.9190203193593662,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",81999,tandem,19676.7,2026-08-10 23:09:59,wf20|p1.77|nbb10|wbb0.2|e1|rho9
182.0,182.0,102,1.766990291262136,20.0,10,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.01074507909672745,0.01074507909672745,0.0,0.6774695639186382,0.5988955306417312,1.2763650945603695,31.032887812867806,0.0026862697741818625,0.008058809322545588,0.5941068553813548,1.193002386023086,31.11625052140509,0.1219117710031534,0.052202411270366934,0.03608198666403348,0.38869936170417735,0.6774695639186382,84.1327970816645,19.21899811024906,1.9192260051308698,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",81999,tandem,19668.9,2026-08-10 23:10:01,wf20|p1.77|nbb10|wbb0.2|e1|rho4.22
182.0,182.0,82,2.1927710843373496,20.0,8,0.2,10,0.0,4.22,10.0,1.0,0.008911967153725395,0.008615384615384617,0.008615384615384617,0.0,0.5407932908169844,0.9386870037037908,1.479480294520775,30.85424985707606,0.002153846153846154,0.006461538461538463,0.4743379834325128,1.4130249871363034,30.920705164460532,0.18004107654990875,0.09935665336961778,0.04635502455408716,0.612934249230177,0.5407932908169844,83.20409087611546,19.302440370491734,1.921135923274427,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82923,tandem,19704.6,2026-08-10 23:11:37,wf20|p2.2|nbb8|wbb0.2|e1|rho4.22
182.0,182.0,82,2.1927710843373496,20.0,8,0.2,10,0.0,9.0,10.0,1.0,0.008911967153725395,0.008615384615384617,0.008615384615384617,0.0,0.5373394968402992,1.094417103730085,1.6317566005703843,30.657198184799356,0.002153846153846154,0.006461538461538463,0.47130860844226985,1.565725712172355,30.723229073197384,0.19231539938342507,0.20282406779333642,0.09735551768216812,0.6019221188711552,0.5373394968402992,82.69032904324649,19.30191128828875,1.9207791200038047,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82923,tandem,19749.8,2026-08-10 23:11:37,wf20|p2.2|nbb8|wbb0.2|e1|rho9
