cell_w_mm,cell_h_mm,n_fingers,finger_pitch_mm,finger_width_um,busbar_number,busbar_width_mm,n_probe_points,busbar_recovery_factor,rho_bulk_uohm_cm,rho_contact_mohm_cm2,edge_margin_mm,finger_shading_loss,raw_busbar_shading,effective_busbar_shading,recovered_busbar_light,optical_loss,electrical_loss,total_loss,efficiency,recovered_busbar_light_25,effective_busbar_shading_25,optical_loss_rec25,total_loss_rec25,Pe,Pf_finger,Pf_busbar,Pc,P_shade,scenario_label,nodes,mode,elapsed_s,timestamp
182.0,182.0,102,1.766990291262136,20.0,4,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.00429803163869098,0.00429803163869098,0.0,0.47099920758591346,1.1616682827732079,1.6326674903591214,30.616871059555933,0.001074507909672745,0.0032235237290182354,0.43810113746299006,1.599769420236198,0.1185510797437792,0.3767488936344092,0.09177880816425547,0.574589501230764,0.47099920758591346,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83181,tandem,1211.0,2026-08-09 18:26:51
182.0,182.0,102,1.766990291262136,20.0,6,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.00644704745803647,0.00644704745803647,0.0,0.5418683816054544,0.8687002962102166,1.410568677815671,30.906218613623487,0.0016117618645091175,0.004835285593527352,0.49205491706783416,1.3607552132780507,0.12200258154433098,0.16345635124825547,0.06093361329994013,0.52230775011769,0.5418683816054544,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",84423,tandem,1186.9,2026-08-09 18:26:27
182.0,182.0,102,1.766990291262136,20.0,8,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.00859606327738196,0.00859606327738196,0.0,0.6098288013350047,0.7230554914390173,1.3328842927740219,30.984589308491472,0.00214901581934549,0.006447047458036471,0.5432424287551334,1.2662979201941507,0.12879387183204277,0.08696922567898925,0.04578895748249777,0.46150343644548747,0.6098288013350047,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83289,tandem,1173.7,2026-08-09 18:26:13
182.0,182.0,102,1.766990291262136,20.0,10,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.01074507909672745,0.01074507909672745,0.0,0.6774695639186382,0.5988955306417312,1.2763650945603695,31.032887812867806,0.0026862697741818625,0.008058809322545588,0.5941068553813548,1.193002386023086,0.1219117710031534,0.052202411270366934,0.03608198666403348,0.38869936170417735,0.6774695639186382,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",81999,tandem,1173.4,2026-08-09 18:26:13
182.0,182.0,102,1.766990291262136,20.0,12,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.01289409491607294,0.01289409491607294,0.0,0.7414362205411829,0.5865696052685881,1.328005825809771,30.919312214474733,0.003223523729018235,0.009670571187054704,0.6417670839329002,1.2283366892014882,0.1512687251856939,0.03207903103296305,0.029823867762842834,0.37339798128708834,0.7414362205411829,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",80221,tandem,1121.9,2026-08-09 18:25:22
182.0,182.0,102,1.766990291262136,20.0,14,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.015043110735418431,0.015043110735418431,0.0,0.8060698573857997,0.557236604221748,1.3633064616075479,30.849945875676177,0.003760777683854608,0.011282333051563823,0.6900500693884343,1.2472866736101824,0.15415616930181528,0.022984655496319253,0.02507198772325926,0.3550237917003542,0.8060698573857997,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",84283,tandem,838.4,2026-08-09 19:13:37
182.0,182.0,102,1.766990291262136,20.0,16,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.01719212655476392,0.01719212655476392,0.0,0.8725685325723015,0.4824437298535703,1.3550122624258718,30.857077048235578,0.00429803163869098,0.012894094916072942,0.7399438391414597,1.22238756899503,0.14163189677395935,0.015170085418790879,0.02215125580139231,0.3034904918594278,0.8725685325723015,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82281,tandem,973.8,2026-08-09 19:15:53
182.0,182.0,102,1.766990291262136,20.0,18,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.01934114237410941,0.01934114237410941,0.0,0.9367109733641286,0.44744122748809106,1.3841522008522196,30.78576134062147,0.004835285593527352,0.014505856780582057,0.7878530250680502,1.2352942525561412,0.1442331185374167,0.011265376180986417,0.019430411153156083,0.2725123216165319,0.9367109733641286,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",86215,tandem,965.2,2026-08-09 23:55:05
182.0,182.0,102,1.766990291262136,20.0,20,0.2,10,0.0,4.22,10.0,1.0,0.011085617679024273,0.0214901581934549,0.0214901581934549,0.0,1.0010464936667522,0.41374504140208657,1.4147915350688387,30.7297820805693,0.005372539548363725,0.016117618645091175,0.8359495241262948,1.2496945655283813,0.14770383108792748,0.007840189245471649,0.017318629037259548,0.2408823920314279,1.0010464936667522,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",92381,tandem,1000.1,2026-08-09 23:55:40
