cell_w_mm,cell_h_mm,n_fingers,finger_pitch_mm,finger_width_um,busbar_number,busbar_width_mm,n_probe_points,busbar_recovery_factor,rho_bulk_uohm_cm,rho_contact_mohm_cm2,edge_margin_mm,finger_shading_loss,raw_busbar_shading,effective_busbar_shading,recovered_busbar_light,optical_loss,electrical_loss,total_loss,efficiency,recovered_busbar_light_25,effective_busbar_shading_25,optical_loss_rec25,total_loss_rec25,Pe,Pf_finger,Pf_busbar,Pc,P_shade,scenario_label,nodes,mode,elapsed_s,timestamp,sweep_key
182.0,182.0,129,1.4,20.0,8,0.2,10,0.0,4.22,10.0,0.0,0.014175824175824176,0.008666586161091656,0.008666586161091656,0.0,0.7132236780012646,0.3573130885033958,1.0705367665046603,31.22366105334414,0.002166646540272914,0.006499939620818742,0.6455730408053824,1.002886129308778,0.03485900139058299,0.06685936427599731,0.0445669130591983,0.21102780977761726,0.7132236780012646,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82029,tandem,880.4,2026-08-09 23:53:51,wf20|p1.4|nbb8|wbb0.2|e0
182.0,182.0,129,1.4,20.0,10,0.2,10,0.0,4.22,10.0,0.0,0.014175824175824176,0.01083323270136457,0.01083323270136457,0.0,0.7789256398850167,0.3324061947555823,1.1113318346405991,31.1457422688934,0.0027083081753411426,0.008124924526023428,0.6945733714711045,1.026979566226687,0.04985499092716626,0.03964387286842008,0.03539713248246348,0.20751019847753252,0.7789256398850167,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83271,tandem,900.5,2026-08-09 23:54:11,wf20|p1.4|nbb10|wbb0.2|e0
182.0,182.0,102,1.766990291262136,20.0,8,0.2,10,0.0,4.22,10.0,0.0,0.011208791208791211,0.008692669967395244,0.008692669967395244,0.0,0.623056836388698,0.44626055928322284,1.0693173956719209,31.307090010769194,0.002173167491848811,0.006519502475546433,0.5550212861129098,1.0012818453961325,0.055280104296340365,0.08461379611000551,0.04490012089898037,0.2614665379778966,0.623056836388698,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83289,tandem,947.8,2026-08-09 23:54:58,wf20|p1.77|nbb8|wbb0.2|e0
182.0,182.0,102,1.766990291262136,20.0,10,0.2,10,0.0,4.22,10.0,0.0,0.011208791208791211,0.010865837459244054,0.010865837459244054,0.0,0.690035988648757,0.3946667763396763,1.0847027649884333,31.259234256019457,0.0027164593648110135,0.00814937809443304,0.6051215490171717,0.999788325356848,0.05783001507561402,0.05044135918366076,0.03570975943480003,0.2506856426456015,0.690035988648757,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",81999,tandem,961.5,2026-08-09 23:55:12,wf20|p1.77|nbb10|wbb0.2|e0
182.0,182.0,129,1.4,20.0,12,0.2,10,0.0,4.22,10.0,0.0,0.014175824175824176,0.012999879241637485,0.012999879241637485,0.0,0.8444435582178071,0.305127896742645,1.149571454960452,31.073475642776287,0.0032499698104093712,0.009749909431228113,0.7434557004742933,1.0485835972169382,0.051721427832973565,0.025133820281576312,0.02928550412682225,0.1989871445012729,0.8444435582178071,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83405,tandem,1018.2,2026-08-09 23:56:09,wf20|p1.4|nbb12|wbb0.2|e0
182.0,182.0,102,1.766990291262136,20.0,12,0.2,10,0.0,4.22,10.0,0.0,0.011208791208791211,0.013039004951092862,0.013039004951092862,0.0,0.7563859275996951,0.3570659053562591,1.1134518329559542,31.194007183674348,0.0032597512377732156,0.009779253713319646,0.6547012240716061,1.0117671294278652,0.05768767755836508,0.03201194857715848,0.029490697022553813,0.23787558219818172,0.7563859275996951,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",80221,tandem,1051.4,2026-08-10 00:11:22,wf20|p1.77|nbb12|wbb0.2|e0
182.0,182.0,82,2.1927710843373496,20.0,8,0.2,10,0.0,4.22,10.0,0.0,0.009010989010989012,0.0087119913053979,0.0087119913053979,0.0,0.5552600325517028,0.5546797712672827,1.1099398038189854,31.32994691859482,0.002177997826349475,0.006533993479048425,0.4870234762633588,1.0417032475306414,0.08581466176434815,0.10398264888762893,0.04579430067236524,0.31908815994294043,0.5552600325517028,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82923,tandem,1146.5,2026-08-10 00:13:18,wf20|p2.2|nbb8|wbb0.2|e0
182.0,182.0,82,2.1927710843373496,20.0,12,0.2,10,0.0,4.22,10.0,0.0,0.009010989010989012,0.013067986958096847,0.013067986958096847,0.0,0.6897456538056996,0.44629783649071475,1.1360434902964145,31.239929549787774,0.0032669967395242117,0.009800990218572635,0.5876849058235769,1.0339827423142918,0.09098724205023696,0.03953265478851636,0.029907132005768184,0.2858708076461932,0.6897456538056996,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",84991,tandem,1250.6,2026-08-10 00:16:03,wf20|p2.2|nbb12|wbb0.2|e0
182.0,182.0,82,2.1927710843373496,20.0,10,0.2,10,0.0,4.22,10.0,0.0,0.009010989010989012,0.010889989131747376,0.010889989131747376,0.0,0.6228834318379256,0.49288303195420635,1.115766463792132,31.299136523360804,0.002722497282936844,0.008167491848810531,0.5376716176948064,1.030554649649013,0.09167919484613812,0.06145593069135718,0.036405755586182954,0.3033421508305281,0.6228834318379256,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82921,tandem,1296.1,2026-08-10 00:16:34,wf20|p2.2|nbb10|wbb0.2|e0
182.0,182.0,69,2.6,20.0,8,0.2,10,0.0,4.22,10.0,0.0,0.007582417582417584,0.008724550175099627,0.008724550175099627,0.0,0.510694805858947,0.658293615669399,1.1689884215283461,31.317582364356255,0.0021811375437749067,0.00654341263132472,0.4423868511837867,1.1006804668531858,0.12178301153256789,0.12143251498426906,0.04726876211847001,0.367809327034092,0.510694805858947,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",80657,tandem,1301.7,2026-08-10 00:17:50,wf20|p2.6|nbb8|wbb0.2|e0
182.0,182.0,69,2.6,20.0,12,0.2,10,0.0,4.22,10.0,0.0,0.007582417582417584,0.013086825262649439,0.013086825262649439,0.0,0.6457584764584937,0.5300023837745453,1.175760860233039,31.242483399076814,0.0032717063156623596,0.009815118946987078,0.5435422462047577,1.073544629979303,0.12468517020595014,0.045725176070507384,0.03077447019997235,0.32881756729811545,0.6457584764584937,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",81645,tandem,832.2,2026-08-10 00:27:10,wf20|p2.6|nbb12|wbb0.2|e0
182.0,182.0,69,2.6,20.0,10,0.2,10,0.0,4.22,10.0,0.0,0.007582417582417584,0.010905687718874534,0.010905687718874534,0.0,0.5784980562400653,0.586598560066098,1.1650966163061633,31.290283499176873,0.0027264219297186334,0.0081792657891559,0.49318754112079644,1.0797861011868943,0.1257578292086696,0.07189599590335244,0.03734549365720469,0.35159924129687126,0.5784980562400653,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83915,tandem,967.1,2026-08-10 00:27:29,wf20|p2.6|nbb10|wbb0.2|e0
182.0,182.0,82,2.1927710843373496,20.0,6,0.2,10,0.0,4.22,10.0,0.0,0.009010989010989012,0.006533993479048423,0.006533993479048423,0.0,0.486564018637305,0.6775277055219777,1.1640917241592827,31.300390267350707,0.0016334983697621059,0.004900495109286317,0.4354348821626699,1.1129625876846476,0.08518902248066838,0.19731632166528726,0.06161120372521436,0.3334111576508077,0.486564018637305,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",81933,tandem,539.0,2026-08-10 00:44:15,wf20|p2.2|nbb6|wbb0.2|e0
182.0,182.0,75,2.3947368421052633,20.0,8,0.2,10,0.0,4.22,10.0,0.0,0.008241758241758244,0.00871875377369883,0.00871875377369883,0.0,0.5313246161019994,0.6077550883480523,1.1390797044500518,31.32715661047104,0.0021796884434247075,0.0065390653302741224,0.4630411748727998,1.070796263220852,0.10523373785094588,0.11269721330290268,0.04605256958792564,0.34377156760627803,0.5313246161019994,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",83665,tandem,545.0,2026-08-10 00:44:50,wf20|p2.4|nbb8|wbb0.2|e0
182.0,182.0,69,2.6,20.0,6,0.2,10,0.0,4.22,10.0,0.0,0.007582417582417584,0.006543412631324719,0.006543412631324719,0.0,0.4415473801078784,0.8057819377290064,1.247329317836885,31.258154276717796,0.0016358531578311798,0.004907559473493539,0.3904136297263354,1.196195567455342,0.12373643332597202,0.2314018768179379,0.06380191412157193,0.3868417134635246,0.4415473801078784,"measured (rho=4.22 uohm.cm, KIST low-T sinter 90C/30min/5MPa)",82755,tandem,573.6,2026-08-10 00:44:50,wf20|p2.6|nbb6|wbb0.2|e0
